Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027309.1,12944130,Intron,32.38,1.1E-49,106613575,LOC106613575,ephrin-A2-like
NC_027313.1,13817801,Intron,78.92,1.2E-49,106568935,LOC106568935,calsyntenin-2-like
NW_012347142.1,29019,Exon,66.31,1.3E-49,106591755,LOC106591755,nuclear pore complex protein Nup50-like
NC_027309.1,109855815,Flanks,-35.28,1.7E-49,106561717,LOC106561717,tyrosine-protein kinase CSK-like
NC_027300.1,115441567,Flanks,-36.8,1.7E-49,106562720,pi4ka,phosphatidylinositol 4-kinase alpha
NC_027315.1,2352493,Exon,46.56,2.8E-49,106573038,LOC106573038,cAMP-dependent protein kinase type II-beta regulatory subunit-like
NC_027317.1,22131304,P5K,28.75,7.4E-49,106577148,LOC106577148,monocarboxylate transporter 9-like
NC_027318.1,30265469,Intron,-32.02,7.6E-49,106578687,LOC106578687,titin-like
NC_027319.1,25632575,Intron,38.97,1.5E-48,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027313.1,5716547,Intron,50.77,2.1E-48,106568679,LOC106568679,cadherin-7-like
NC_027301.1,46122665,Intron,-31.11,2.6E-48,106587895,LOC106587895,protein AF-17-like
NC_027309.1,38497357,Flanks,-42.1,3.1E-48,106560396,LOC106560396,tensin-3-like
NC_027319.1,60811463,Intron,-40.53,3.2E-48,106581139,LOC106581139,52 kDa repressor of the inhibitor of the protein kinase-like
NC_027312.1,94842373,Exon,87.63,1.2E-47,106568419,LOC106568419,cryptic protein-like
NC_027312.1,94842395,Exon,87.63,1.2E-47,106568419,LOC106568419,cryptic protein-like
NC_027300.1,3511231,Flanks,-85.27,2.6E-47,106600624,ttc9,tetratricopeptide repeat domain 9
NC_027312.1,19910000,Intron,67.73,2.8E-47,106566735,cdh4,cadherin 4
NC_027305.1,55396052,Flanks,64.81,3.2E-47,106607752,moxd1,monooxygenase DBH like 1
NC_027316.1,40012158,Intron,100.0,3.7E-47,106576154,LOC106576154,"signal peptide, CUB and EGF-like domain-containing protein 1"
NC_027310.1,16264871,Intron,-44.89,3.7E-47,106562146,LOC106562146,immunoglobulin superfamily DCC subclass member 3-like
NC_027311.1,8480128,Exon,82.47,4.9E-47,106564320,LOC106564320,uncharacterized LOC106564320
NC_027316.1,45624900,Intron,88.93,7.1E-47,106576317,LOC106576317,synaptotagmin-1-like
NC_027315.1,29951013,Intron,-40.67,7.8E-47,106573752,hydin,HYDIN axonemal central pair apparatus protein
NC_027313.1,16809282,Flanks,-64.57,1.1E-46,106569007,LOC106569007,G-protein coupled receptor 55-like
NC_027308.1,53423213,Intron,63.49,1.3E-46,106611552,LOC106611552,LIM domain-binding protein 2
NC_027312.1,87520737,Intron,55.29,1.4E-46,106568192,LOC106568192,serine/arginine-rich splicing factor 9-like
NC_027315.1,55286936,Intron,44.67,1.4E-46,106574184,armc9,armadillo repeat containing 9
NC_027320.1,14216916,Intron,50.47,1.5E-46,106581817,acvr1,activin A receptor type 1
NC_027300.1,148324102,Intron,67.86,1.8E-46,106571245,LOC106571245,rab-like protein 6
NC_027300.1,131658029,Intron,-33.06,2.7E-46,106566295,LOC106566295,breakpoint cluster region protein-like
NC_027311.1,47732991,Flanks,67.49,5.5E-46,106565092,zc3h11a,zinc finger CCCH-type containing 11A
NC_027302.1,27246348,Intron,63.64,5.6E-46,106599664,LOC106599664,laminin subunit alpha-3-like
NC_027313.1,24532567,Intron,-100.0,6.0E-46,106569241,LOC106569241,disks large-associated protein 1-like
NC_027312.1,21796250,Flanks,-48.13,9.1E-46,106566696,LOC106566696,actin-related protein 5-like
NC_027312.1,19560408,Exon,29.5,9.1E-46,106566742,cdh26,cadherin 26
NC_027317.1,29687409,Intron,50.17,1.1E-45,106577222,ankyrin-3-like,ankyrin-3-like
NC_027314.1,61869095,Flanks,-26.36,1.1E-45,106571941,LOC106571941,nascent polypeptide-associated complex subunit alpha-like
NC_027319.1,46936134,Intron,-57.67,1.2E-45,106580783,LOC106580783,adapter molecule crk-like
NC_027315.1,74870139,Exon,54.49,1.4E-45,106574652,LOC106574652,uncharacterized LOC106574652
NC_027317.1,49582237,Intron,-25.73,1.4E-45,106577599,LOC106577599,rap1 GTPase-GDP dissociation stimulator 1-like
NC_027320.1,38104152,Intron,26.65,1.5E-45,106582203,erbb4,erb-b2 receptor tyrosine kinase 4
NC_027301.1,43041013,Flanks,64.88,1.7E-45,100196493,kinase C alpha type,kinase C alpha type
NC_027322.1,1102107,Flanks,66.22,1.9E-45,106583886,LOC106583886,V-type proton ATPase 16 kDa proteolipid subunit
NW_012350166.1,12332,Flanks,-71.3,1.9E-45,106593439,LOC106593439,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like
NC_027308.1,130575033,Intron,97.44,2.0E-45,106613218,LOC106613218,"arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like"
NC_027319.1,25632590,Intron,38.35,7.0E-45,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027304.1,66859329,Exon,76.49,1.2E-44,100196655,heat shock protein 70,heat shock protein 70
NC_027315.1,27846277,Flanks,73.63,1.5E-44,106573508,LOC106573508,"leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1"
NC_027300.1,49713814,Intron,-31.06,1.7E-44,106604807,LOC106604807,cytochrome P450 1B1-like
NC_027303.1,15219927,P1K,28.23,3.3E-44,106602610,LOC106602610,neurotrophin receptor-interacting factor homolog
NC_027306.1,36897943,Intron,-77.9,3.4E-44,106609184,LOC106609184,pleckstrin homology domain-containing family A member 5-like
NC_027318.1,56353029,Flanks,30.93,4.2E-44,106579150,LOC106579150,serine/threonine-protein kinase tousled-like 2
NC_027312.1,5555080,Intron,30.02,6.9E-44,106566387,kcnc4,potassium voltage-gated channel subfamily C member 4
NC_027300.1,88849099,Intron,-77.24,7.7E-44,106613356,LOC106613356,calcium-activated potassium channel subunit alpha-1-like
NC_027310.1,68510683,Flanks,56.41,8.2E-44,106563258,LOC106563258,probable lipid phosphate phosphatase PPAPDC3
NC_027300.1,146668443,Intron,-31.16,8.7E-44,106570862,LOC106570862,carnitine O-acetyltransferase-like
NC_027320.1,38274274,Intron,43.89,9.7E-44,106582203,erbb4,erb-b2 receptor tyrosine kinase 4
NC_027303.1,29174402,Exon,-44.69,9.7E-44,106602881,LOC106602881,A disintegrin and metalloproteinase with thrombospondin motifs 15-like
NC_027311.1,26528425,Intron,52.5,1.0E-43,106564852,LOC106564852,aftiphilin-like
NC_027311.1,10628811,Flanks,-25.93,1.2E-43,106564404,LOC106564404,zinc finger protein 239-like
NC_027302.1,30199632,Intron,47.8,1.9E-43,106599764,LOC106599764,EF-hand calcium-binding domain-containing protein 14-like
NC_027309.1,70532841,P1K,26.1,1.9E-43,106561022,ptprz1,protein tyrosine phosphatase receptor type Z1
NC_027311.1,63841522,Intron,-81.64,1.9E-43,106565894,LOC106565894,ephrin type-B receptor 2
NC_027308.1,34255999,Intron,47.25,2.3E-43,106611225,LOC106611225,neuronal PAS domain-containing protein 3-like
NC_027314.1,69635837,Intron,86.5,3.1E-43,106572145,LOC106572145,phosphatase and actin regulator 3-like
NC_027302.1,35760057,Intron,38.0,6.5E-43,106600236,LOC106600236,uncharacterized LOC106600236
NC_027315.1,41302501,Intron,41.53,6.5E-43,100380421,Receptor-type tyrosine-protein phosphatase-like N,Receptor-type tyrosine-protein phosphatase-like N
NC_027304.1,48522251,Intron,44.94,8.9E-43,106605069,LOC106605069,sal-like protein 3
NC_027310.1,2103804,Exon,41.95,9.2E-43,106561882,LOC106561882,MAM domain-containing glycosylphosphatidylinositol anchor protein 1-like
NW_012348954.1,16977,Exon,55.29,9.3E-43,106592856,LOC106592856,TBC1 domain family member 30-like
NC_027319.1,42442454,Intron,84.43,1.1E-42,106580658,LOC106580658,protein FAM188B2
NC_027310.1,32377770,Flanks,-80.57,1.2E-42,106562481,LOC106562481,ankyrin repeat and SOCS box protein 7
NC_027317.1,15494019,P250,-45.33,1.3E-42,106576969,DEAD (Asp-Glu-Ala-Asp) box polypeptide 43,DEAD-box helicase 43
NC_027317.1,24151215,Intron,-32.42,1.5E-42,106577123,LOC106577123,inactive phospholipase D5-like
NC_027300.1,53008148,P5K,-26.35,1.6E-42,106605225,LOC106605225,"cytochrome c oxidase subunit 7A-related protein, mitochondrial"
NC_027318.1,15534780,Flanks,-47.29,1.6E-42,106578522,LOC106578522,E3 ubiquitin-protein ligase DTX3L-like
NC_027326.1,17182735,Intron,-43.9,1.6E-42,106588620,LOC106588620,collagen alpha-1(XXII) chain-like
NC_027300.1,4275141,P5K,68.54,2.0E-42,106602253,cdkl1,cyclin dependent kinase like 1
NC_027324.1,25329336,Intron,72.25,2.5E-42,106586446,LOC106586446,receptor tyrosine-protein kinase erbB-4-like
NC_027300.1,42376218,P5K,-84.38,3.1E-42,100306860,Thioredoxin domain-containing protein 1,Thioredoxin domain-containing protein 1
NC_027306.1,32742449,Intron,82.84,4.0E-42,106609118,LOC106609118,proton myo-inositol cotransporter-like
NC_027320.1,26911913,Exon,53.09,4.6E-42,106582137,LOC106582137,ankyrin repeat domain-containing protein 10-like
NC_027309.1,16805390,Intron,44.79,5.2E-42,106613688,LOC106613688,AP-1 complex subunit mu-1
NC_027320.1,14216964,Intron,49.35,6.7E-42,106581817,acvr1,activin A receptor type 1
NC_027300.1,127108881,Intron,31.22,9.7E-42,106565912,LOC106565912,astrotactin-2-like
NC_027321.1,11628408,Intron,-38.57,9.9E-42,106582800,LOC106582800,twinfilin-2-like
NC_027308.1,105743966,Intron,-27.6,1.2E-41,106612604,LOC106612604,sodium/calcium exchanger 2-like
NC_027315.1,34254665,P5K,-31.01,1.3E-41,106573665,spire2,spire type actin nucleation factor 2
NC_027303.1,11148853,Flanks,-56.27,1.7E-41,106602386,LOC106602386,heart- and neural crest derivatives-expressed protein 2-like
NC_027300.1,146975109,Flanks,28.62,1.9E-41,106570832,LOC106570832,ephrin-A2-like
NC_027301.1,50829754,Intron,-56.45,2.6E-41,106586738,LOC106586738,collagen alpha-1(XVII) chain-like
NC_027302.1,11940457,Intron,-25.43,2.9E-41,106598874,LOC106598874,CMRF35-like molecule 9
NC_027302.1,57355155,Flanks,66.49,2.9E-41,106600836,LOC106600836,homeobox protein Hox-B2a-like
NC_027317.1,54936646,Intron,-53.77,3.0E-41,106577684,LOC106577684,RNA-binding protein 4B-like
NC_027304.1,51442908,Intron,76.22,3.9E-41,106605129,LOC106605129,MAP7 domain-containing protein 1-like
NC_027318.1,26528802,Intron,40.64,5.0E-41,106578611,LOC106578611,limb region 1 protein homolog
NC_027312.1,55870551,Intron,-77.53,5.0E-41,106567530,LOC106567530,protein Jade-1-like
NC_027304.1,76045232,Intron,-61.21,6.6E-41,106606055,LOC106606055,bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein
NC_027309.1,36968787,Flanks,42.79,7.0E-41,106560385,LOC106560385,"beta-1,4-galactosyltransferase 6-like"
NC_027315.1,34254628,P5K,-31.41,9.5E-41,106573665,spire2,spire type actin nucleation factor 2
NC_027315.1,22669986,P5K,-54.47,1.1E-40,106573411,LOC106573411,receptor-interacting serine/threonine-protein kinase 3-like
NC_027300.1,88849091,Intron,-73.29,2.2E-40,106613356,LOC106613356,calcium-activated potassium channel subunit alpha-1-like
NC_027318.1,23704039,Intron,31.26,3.1E-40,106578591,drosha,drosha ribonuclease III
NC_027312.1,24533752,Intron,-73.6,3.4E-40,106566884,nphp4,nephrocystin 4
NC_027309.1,96102414,Intron,86.36,3.5E-40,106561392,LOC106561392,homeodomain-interacting protein kinase 2-like
NC_027316.1,12567101,Intron,-62.01,3.9E-40,106575305,LOC106575305,"beta-1,3-galactosyltransferase 1-like"
NC_027312.1,69864623,Flanks,52.42,5.6E-40,106567661,LOC106567661,SH2B adapter protein 2-like
NC_027328.1,3546740,Intron,-56.12,5.6E-40,106590042,LOC106590042,zinc finger protein 438-like
NC_027301.1,66571998,Flanks,61.46,5.8E-40,106593387,LOC106593387,"myosin heavy chain, fast skeletal muscle-like"
NC_027309.1,75486122,Intron,69.49,6.5E-40,106560938,zcchc14,zinc finger CCHC-type containing 14
NC_027312.1,53554971,Intron,59.62,8.6E-40,106567507,LOC106567507,gamma-aminobutyric acid receptor subunit beta-2
NC_027304.1,58114561,Flanks,-45.7,9.1E-40,106605356,LOC106605356,ribosome biogenesis protein BMS1 homolog
NC_027317.1,55420052,Intron,-95.12,9.4E-40,106577697,LOC106577697,transmembrane protein 256-like
NC_027320.1,10038700,Intron,62.77,1.2E-39,106581700,LOC106581700,inactive dipeptidyl peptidase 10-like
NC_027301.1,44358253,Intron,42.63,1.5E-39,106588386,LOC106588386,trafficking protein particle complex subunit 5-like
NC_027303.1,24889368,Intron,86.06,1.6E-39,106602816,LOC106602816,transcription initiation factor TFIID subunit 6-like
NC_027311.1,22317010,P5K,82.95,1.8E-39,100306826,tyrosine phosphatase type IVA 1,tyrosine phosphatase type IVA 1
NC_027317.1,59033945,P5K,49.88,1.8E-39,106577863,b4gat1,"beta-1,4-glucuronyltransferase 1"
NC_027317.1,14157487,Intron,57.66,2.3E-39,106576941,LOC106576941,neuroblast differentiation-associated protein AHNAK-like
NC_027312.1,84914526,Intron,46.71,2.4E-39,106568112,LOC106568112,trace amine-associated receptor 13c-like
NC_027303.1,75542059,Flanks,56.05,3.2E-39,106603930,LOC106603930,rabankyrin-5-like
NC_027303.1,75920209,Intron,52.02,5.0E-39,106603936,P2X purinoceptor 1-like,P2X purinoceptor 1-like
NC_027316.1,12740973,Flanks,28.47,7.8E-39,106575311,LOC106575311,heparan-sulfate 6-O-sulfotransferase 3-like
NC_027300.1,145519637,P250,45.8,1.0E-38,106570505,odf2,outer dense fiber of sperm tails 2
NC_027303.1,34518358,Intron,40.41,1.0E-38,106603037,LOC106603037,bromodomain-containing protein 8-like
NC_027303.1,33722398,Intron,-65.43,1.3E-38,106602980,LOC106602980,complement factor B-like
NC_027306.1,19618792,Intron,-63.28,1.3E-38,106608822,LOC106608822,ephrin-B3-like
NC_027305.1,19507089,Flanks,-45.47,1.5E-38,100380872,Cisplatin resistance-associated overexpressed protein,Cisplatin resistance-associated overexpressed protein
NC_027303.1,75542064,Flanks,55.41,1.6E-38,106603930,LOC106603930,rabankyrin-5-like
NC_027300.1,125498564,Exon,79.73,1.6E-38,106565885,LOC106565885,protein C9orf69-like
NC_027307.1,720184,Intron,-50.46,1.6E-38,106609894,DNA-directed RNA polymerase II subunit 1-like,DNA-directed RNA polymerase II subunit 1-like
NC_027305.1,38829742,Intron,25.64,1.8E-38,106607259,LOC106607259,zinc finger protein 652-like
NC_027326.1,8216032,Intron,-43.5,1.9E-38,106588461,LOC106588461,microtubule-actin cross-linking factor 1-like
NC_027300.1,119664885,Flanks,31.47,2.0E-38,106564165,LOC106564165,protein FAM222A-like
NC_027313.1,32684324,Intron,47.83,2.0E-38,100194869,alat2,Alanine aminotransferase 2-like
NC_027311.1,36290677,Intron,94.31,2.2E-38,106565077,LOC106565077,solute carrier family 12 member 5-like
NC_027310.1,20028223,Intron,56.41,2.3E-38,106562201,adam10,ADAM metallopeptidase domain 10
NC_027309.1,16805401,Intron,31.72,2.5E-38,106613688,LOC106613688,AP-1 complex subunit mu-1
NC_027319.1,42016205,Flanks,53.6,2.7E-38,106580649,LOC106580649,60S ribosomal protein L35a
NC_027318.1,60683795,P5K,38.88,2.8E-38,106579062,LOC106579062,tectonic-3-like
NC_027300.1,2408386,Exon,69.39,3.2E-38,106582002,papilin-like,papilin-like
NC_027313.1,46666944,Exon,84.52,3.3E-38,106569754,LOC106569754,dnaJ homolog subfamily B member 4-like
NW_012350506.1,4609,Intron,-32.16,3.3E-38,106593590,LOC106593590,transmembrane 9 superfamily member 2-like
NC_027309.1,34601307,Intron,-35.51,3.4E-38,106560330,LOC106560330,zinc finger protein 648-like
NC_027315.1,74870127,Exon,52.32,3.8E-38,106574652,LOC106574652,uncharacterized LOC106574652
NC_027300.1,52281214,Intron,63.64,4.8E-38,106605097,LOC106605097,tetratricopeptide repeat protein 7A-like
NC_027311.1,50142051,Flanks,31.69,5.4E-38,106565358,LOC106565358,fibroblast growth factor receptor substrate 2-like
NC_027300.1,104709757,P5K,-26.22,5.6E-38,106560516,exocyst complex component 6B-like,exocyst complex component 6B-like
NC_027306.1,24379509,Flanks,-73.89,6.8E-38,106608979,LOC106608979,E3 ubiquitin-protein ligase TRIM39-like
NC_027300.1,70477148,P5K,-26.86,7.9E-38,106608363,LOC106608363,tau-tubulin kinase 1-like
NC_027309.1,20289793,P5K,-63.06,8.9E-38,106613778,LOC106613778,leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3
NC_027314.1,40907138,Intron,-55.49,1.0E-37,106571690,itpk1,inositol-tetrakisphosphate 1-kinase
NC_027313.1,77436081,Intron,89.58,1.2E-37,106570454,vps50,VPS50 subunit of EARP/GARPII complex
NC_027324.1,28301271,Intron,-68.42,1.3E-37,106586508,LOC106586508,dehydrogenase/reductase SDR family member on chromosome X-like
NC_027304.1,54914375,Flanks,-67.54,1.4E-37,106605378,LOC106605378,collagen alpha-1(XXVIII) chain-like
NC_027301.1,46061407,Exon,-76.39,1.5E-37,106587962,LOC106587962,transcription factor Sp6-like
NC_027303.1,18976355,Intron,48.37,1.6E-37,106602653,LOC106602653,uncharacterized protein YBL113C-like
NC_027324.1,20574923,Flanks,49.07,1.6E-37,106586333,LOC106586333,potassium voltage-gated channel subfamily H member 8-like
NC_027302.1,66258408,Intron,-63.07,2.1E-37,106601254,LOC106601254,protein TANC2-like
NC_027310.1,9978305,Exon,-60.28,2.8E-37,100195775,High choriolytic enzyme 1,High choriolytic enzyme 1
NC_027311.1,63568939,Intron,43.04,3.0E-37,106565900,LOC106565900,immunoglobulin superfamily member 21-like
NC_027300.1,72830576,Intron,64.84,3.2E-37,106609202,macrod2,mono-ADP ribosylhydrolase 2
NW_012350166.1,7427,Flanks,38.38,3.2E-37,106593439,LOC106593439,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like
NC_027303.1,35384369,P5K,34.88,3.4E-37,100194755,ccd82,Coiled-coil domain-containing protein 82
NC_027311.1,20641211,Intron,-49.34,3.4E-37,106564665,LOC106564665,septin-9-like
NC_027311.1,57744936,Flanks,-45.14,3.4E-37,106565555,LOC106565555,actin-related protein 2/3 complex subunit 4
NC_027313.1,63127731,Intron,-55.54,3.6E-37,106569851,LOC106569851,A-kinase anchor protein 9-like
NC_027308.1,60627985,Intron,-61.66,3.9E-37,106611655,LOC106611655,catenin delta-1-like
NC_027300.1,61550309,Flanks,-65.25,3.9E-37,106607224,LOC106607224,SH3 and PX domain-containing protein 2A-like
NC_027310.1,80488429,Intron,31.28,4.3E-37,106563664,LOC106563664,neurexin-2-like
NC_027309.1,99949635,Intron,36.09,4.5E-37,100380737,LOC100380737,liprin-beta-2
NC_027310.1,54266363,Exon,62.47,5.0E-37,106562973,LOC106562973,fibrinogen C domain-containing protein 1-like
NC_027321.1,30375150,P5K,70.48,5.4E-37,106583182,LOC106583182,isotocin receptor-like
NC_027326.1,17648278,Flanks,-47.59,5.7E-37,106588616,LOC106588616,membrane progestin receptor alpha-B-like
NC_027308.1,117897841,P5K,32.46,6.0E-37,106612968,LOC106612968,homeobox protein BarH-like 2
NC_027314.1,103791227,Intron,46.96,6.9E-37,106573008,LOC106573008,mitochondrial carnitine/acylcarnitine carrier protein-like
NC_027321.1,21503849,Intron,-44.93,7.0E-37,106583006,LOC106583006,rap1 GTPase-activating protein 1-like
NC_027319.1,45193869,Flanks,41.37,7.9E-37,106580728,LOC106580728,leucine-rich repeat and fibronectin type III domain-containing protein 1-like protein
NC_027318.1,2712914,Intron,43.36,8.0E-37,106578306,LOC106578306,semaphorin-4G-like
NC_027317.1,66768555,Intron,-36.0,8.0E-37,106578104,LOC106578104,zinc finger protein 37-like
NC_027300.1,17741676,Intron,-27.84,9.3E-37,106573748,LOC106573748,collagen alpha-1(XII) chain-like
NC_027309.1,113939334,Intron,42.98,1.0E-36,106561823,athl1,protein-glucosylgalactosylhydroxylysine glucosidase
NC_027304.1,44364788,Flanks,65.04,1.0E-36,100195081,Solute carrier family 22 member 4,Solute carrier family 22 member 4
