Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027319.1,25632590,Intron,43.95,9.7E-62,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027304.1,59091178,Flanks,82.0,3.2E-61,100196743,cr3l4,cAMP-responsive element-binding protein 3-like protein 4
NC_027308.1,105743966,Intron,-40.34,3.3E-61,106612604,LOC106612604,sodium/calcium exchanger 2-like
NC_027307.1,3454809,Flanks,-26.96,1.1E-59,106609958,LOC106609958,probable G-protein coupled receptor 83
NC_027300.1,142340138,Intron,73.71,2.0E-59,106569324,LOC106569324,zinc finger FYVE domain-containing protein 16-like
NC_027302.1,22786654,Intron,76.69,5.9E-57,106599387,LOC106599387,"beta-1,4-galactosyltransferase 2-like"
NC_027312.1,96628390,Exon,66.39,1.2E-56,106568430,LOC106568430,putative uncharacterized protein DDB_G0286901
NW_012347989.1,7232,Intron,-64.84,2.2E-56,106592313,LOC106592313,"NACHT, LRR and PYD domains-containing protein 12-like"
NC_027328.1,5132367,Intron,47.19,9.5E-56,106590053,LOC106590053,cadherin-12-like
NC_027311.1,20641211,Intron,-67.61,1.2E-55,106564665,LOC106564665,septin-9-like
NC_027311.1,45868438,Intron,70.86,4.5E-54,106565124,LOC106565124,low-density lipoprotein receptor class A domain-containing protein 2-like
NC_027315.1,2589058,Flanks,-29.52,6.5E-54,106573040,LOC106573040,filamin-C-like
NC_027315.1,32884004,Intron,69.02,6.5E-54,106573702,LOC106573702,cadherin-13-like
NW_012352364.1,5182,Flanks,-33.36,6.7E-54,106594295,LOC106594295,uncharacterized LOC106594295
NC_027312.1,26378988,Flanks,-26.97,7.2E-54,106566833,properdin-like,properdin-like
NC_027309.1,89049804,Intron,-70.29,1.1E-53,106561324,LOC106561324,serine/threonine-protein kinase WNK1-like
NC_027318.1,69767272,Intron,-56.68,2.1E-53,106579565,LOC106579565,dipeptidyl aminopeptidase-like protein 6
NC_027304.1,1005370,Intron,-65.59,4.3E-53,106604099,transcriptional regulator ATRX-like,transcriptional regulator ATRX-like
NC_027301.1,14232402,P5K,93.44,5.2E-53,100195786,nca11,Neural cell adhesion molecule 1-A
NC_027314.1,40884453,Intron,-42.25,6.2E-53,106571690,itpk1,inositol-tetrakisphosphate 1-kinase
NC_027313.1,8771091,Intron,38.39,1.9E-52,106568720,LOC106568720,tyrosine-protein kinase JAK1-like
NC_027311.1,38257776,P5K,-60.0,5.4E-52,106565280,LOC106565280,E3 ubiquitin-protein ligase Itchy-like
NC_027314.1,2843048,Intron,-39.21,7.8E-52,106570851,LOC106570851,protein unc-13 homolog B-like
NC_027308.1,74739379,P5K,40.56,1.1E-51,106611966,immt,inner membrane mitochondrial protein
NC_027312.1,40690695,Intron,-36.32,1.2E-51,100380349,mare1,Microtubule-associated protein RP/EB family member 1
NC_027308.1,4330348,Flanks,-44.7,1.6E-51,106610614,ero1a,endoplasmic reticulum oxidoreductase 1 alpha
NC_027318.1,46410788,Intron,52.62,5.5E-51,106578973,LOC106578973,serine-rich coiled-coil domain-containing protein 2-like
NC_027310.1,78335301,Exon,-77.67,1.4E-50,106563588,LOC106563588,diamine acetyltransferase 1-like
NC_027319.1,42016205,Flanks,65.31,2.3E-50,106580649,LOC106580649,60S ribosomal protein L35a
NC_027315.1,30312865,Intron,37.72,2.5E-50,106573747,edc4,enhancer of mRNA decapping 4
NC_027319.1,8583876,Intron,57.84,2.5E-50,106580147,kiaa0825,KIAA0825 ortholog
NC_027305.1,47354236,Flanks,54.56,2.7E-50,100196700,tagap,T-cell activation GTPase activating protein
NC_027316.1,38520204,Flanks,-45.78,3.2E-50,106576110,LOC106576110,neural Wiskott-Aldrich syndrome protein-like
NC_027326.1,22455130,Flanks,-72.99,4.0E-50,106588785,LOC106588785,growth factor receptor-bound protein 10-like
NC_027301.1,14232396,P5K,90.1,4.0E-50,100195786,nca11,Neural cell adhesion molecule 1-A
NC_027300.1,129405278,P5K,-32.86,1.8E-49,106566689,LOC106566689,MAM domain-containing protein 2-like
NC_027305.1,11591081,Intron,47.09,1.9E-49,106606491,"sarcalumenin-like, transcript variant X2",sarcalumenin-like
NC_027314.1,93456478,Flanks,-44.31,2.0E-49,106572754,LOC106572754,"serine--tRNA ligase, cytoplasmic-like"
NC_027317.1,6231408,Intron,40.66,2.1E-49,106576922,LOC106576922,pterin-4-alpha-carbinolamine dehydratase-like
NC_027303.1,34518358,Intron,48.12,5.8E-49,106603037,LOC106603037,bromodomain-containing protein 8-like
NC_027319.1,18338285,Intron,-25.3,9.5E-49,106579979,LOC106579979,serine/threonine-protein phosphatase 6 catalytic subunit-like
NC_027306.1,2141528,Flanks,-57.81,1.4E-48,106608452,LOC106608452,zinc finger protein 568-like
NC_027308.1,2322400,Intron,-47.73,2.8E-48,106610598,LOC106610598,ALK tyrosine kinase receptor-like
NC_027304.1,52250720,Flanks,40.61,1.0E-47,106605137,LOC106605137,gap junction alpha-9 protein-like
NC_027319.1,43618220,Intron,34.77,1.4E-47,106580682,LOC106580682,dedicator of cytokinesis protein 10-like
NC_027305.1,75626983,Intron,74.58,1.5E-47,106608170,LOC106608170,"actin, alpha cardiac muscle 1-like"
NC_027308.1,59178131,Flanks,82.64,3.3E-47,106611628,LOC106611628,protocadherin Fat 4-like
NC_027302.1,52393258,Intron,-46.08,5.2E-47,106600669,LOC106600669,acid-sensing ion channel 2-like
NC_027303.1,33722357,Intron,-72.44,5.2E-47,106602980,LOC106602980,complement factor B-like
NC_027317.1,68588360,Exon,59.56,6.4E-47,106578155,neuropeptide Y receptor type 2-like,neuropeptide Y receptor type 2-like
NC_027324.1,12079191,Flanks,-49.33,7.5E-47,100195207,cg057,CG057 protein
NC_027322.1,12682158,Exon,26.06,1.0E-46,106584076,LOC106584076,forkhead box protein F2-like
NC_027300.1,117578545,Exon,82.19,1.2E-46,106563547,LOC106563547,"rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta-like"
NW_012350267.1,5934,Intron,-56.22,1.2E-46,106593487,LOC106593487,N-acylneuraminate cytidylyltransferase-like
NC_027319.1,25523079,Intron,26.29,2.0E-46,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027313.1,74770728,Exon,-36.2,2.1E-46,106570405,LOC106570405,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
NC_027311.1,56332479,Intron,77.92,2.3E-46,106565582,rad18,RAD18 E3 ubiquitin protein ligase
NC_027318.1,23704039,Intron,33.67,4.4E-46,106578591,drosha,drosha ribonuclease III
NC_027301.1,72158346,Flanks,28.55,8.2E-46,106595687,LOC106595687,zinc finger protein OZF-like
NC_027312.1,96628407,Exon,62.18,9.3E-46,106568430,LOC106568430,putative uncharacterized protein DDB_G0286901
NC_027315.1,2704410,Intron,-77.86,1.3E-45,106573044,LOC106573044,"membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2-like"
NC_027317.1,39454575,P1K,-63.61,1.4E-45,106577444,LOC106577444,leucine-rich repeat and calponin homology domain-containing protein 4-like
NC_027300.1,4275148,P5K,64.37,1.4E-45,106602253,cdkl1,cyclin dependent kinase like 1
NC_027300.1,124820659,Intron,78.64,1.7E-45,106565553,LOC106565553,arrestin domain-containing protein 1-like
NC_027312.1,38956907,P5K,98.31,2.2E-45,106567157,LOC106567157,hematopoietic progenitor cell antigen CD34-like
NC_027327.1,16415286,P5K,46.8,2.3E-45,106589613,ccdc57,coiled-coil domain containing 57
NC_027324.1,20574923,Flanks,49.07,2.4E-45,106586333,LOC106586333,potassium voltage-gated channel subfamily H member 8-like
NC_027309.1,27148496,Intron,-32.6,3.7E-45,106613925,naaladl2,N-acetylated alpha-linked acidic dipeptidase like 2
NC_027321.1,31989902,P1K,42.69,3.8E-45,100195379,dtx3l,deltex-3-like
NC_027311.1,47730797,Flanks,-80.7,4.8E-45,106565092,zc3h11a,zinc finger CCCH-type containing 11A
NC_027302.1,34222407,Intron,65.33,6.1E-45,106600414,LOC106600414,dynamin-3-like
NC_027303.1,38031023,P5K,93.87,7.7E-45,106603168,LOC106603168,transmembrane protein 164-like
NC_027301.1,14748561,P5K,57.66,1.0E-44,106578482,LOC106578482,frizzled-6-like
NC_027300.1,43249882,Intron,64.1,1.4E-44,106603022,nrxn3,neurexin 3
NC_027320.1,14216921,Intron,45.68,1.7E-44,106581817,acvr1,activin A receptor type 1
NC_027325.1,28581703,P5K,-87.86,1.9E-44,106587562,LOC106587562,thrombospondin type-1 domain-containing protein 4-like
NC_027317.1,14158002,Intron,-53.75,2.1E-44,106576941,LOC106576941,neuroblast differentiation-associated protein AHNAK-like
NC_027322.1,14429506,Intron,37.81,2.2E-44,106584192,LOC106584192,cadherin-2-like
NC_027303.1,29174402,Exon,-44.3,2.4E-44,106602881,LOC106602881,A disintegrin and metalloproteinase with thrombospondin motifs 15-like
NC_027323.1,26366687,Flanks,-78.53,3.5E-44,106585423,LOC106585423,neurogenic locus notch homolog protein 1-like
NC_027324.1,31315472,P5K,55.24,1.0E-43,106586604,tbx15,T-box 15
NC_027308.1,19363118,Intron,-73.87,1.0E-43,106610864,pleckstrin homology domain-containing family G member 3-like,pleckstrin homology domain-containing family G member 3-like
NC_027326.1,10595751,Flanks,-53.75,1.1E-43,106588385,LOC106588385,histone H3-like centromeric protein A
NC_027309.1,66932412,Intron,27.53,1.1E-43,106561064,LOC106561064,protein inscuteable homolog
NC_027312.1,58867559,Intron,-31.5,1.2E-43,106567556,LOC106567556,transmembrane protein 132E-like
NC_027314.1,81136556,Intron,59.73,1.5E-43,106572392,LOC106572392,calmodulin-binding transcription activator 1-like
NC_027305.1,36513025,Intron,-77.77,2.0E-43,106607330,LOC106607330,protein tweety homolog 3-like
NC_027327.1,5267556,Intron,-39.63,2.8E-43,106589183,LOC106589183,neurogenic differentiation factor 1-like
NC_027303.1,45547999,Intron,50.56,3.1E-43,106603374,LOC106603374,protein FAM76B
NC_027302.1,20723349,Intron,52.45,3.3E-43,106599465,LOC106599465,nuclear receptor coactivator 2-like
NC_027300.1,145668841,Intron,-60.78,3.6E-43,106570466,LOC106570466,uncharacterized LOC106570466
NC_027301.1,49172618,Intron,68.1,4.4E-43,106586852,LOC106586852,VPS10 domain-containing receptor SorCS1-like
NC_027321.1,25825544,Exon,54.17,5.7E-43,106583123,LOC106583123,protein Wnt-4a-like
NC_027300.1,146975109,Flanks,28.97,7.9E-43,106570832,LOC106570832,ephrin-A2-like
NC_027319.1,47849122,Intron,36.21,7.9E-43,106580806,LOC106580806,limbic system-associated membrane protein-like
NC_027302.1,34222384,Intron,63.43,1.0E-42,106600414,LOC106600414,dynamin-3-like
NC_027309.1,70532841,P1K,25.79,1.3E-42,106561022,ptprz1,protein tyrosine phosphatase receptor type Z1
NC_027328.1,17736521,Intron,-29.44,1.4E-42,106590296,LOC106590296,patched domain-containing protein 3-like
NC_027318.1,31388248,P1K,-76.6,1.4E-42,106578665,LOC106578665,protein scribble homolog
NC_027312.1,31957525,Flanks,60.81,1.5E-42,106566973,LOC106566973,"keratin, type II cytoskeletal 8-like"
NC_027303.1,40735894,P5K,49.69,1.8E-42,106603268,LOC106603268,protein phosphatase 1D-like
NC_027316.1,1468528,Intron,-53.5,2.0E-42,106575131,LOC106575131,pleckstrin homology domain-containing family A member 3-like
NC_027313.1,28715494,Intron,59.85,2.1E-42,106569162,LOC106569162,phosphatase and actin regulator 1-like
NC_027322.1,37139243,P250,-32.03,2.9E-42,106584541,calcium-dependent secretion activator 2-like,calcium-dependent secretion activator 2-like
NC_027328.1,360558,Flanks,-38.94,3.6E-42,100195615,cullin 2,cullin 2
NC_027311.1,73393334,Intron,-29.85,4.0E-42,106565729,LOC106565729,neural cell adhesion molecule L1-like protein
NC_027314.1,27253242,P1K,50.44,4.3E-42,106571271,LOC106571271,filamin-A-interacting protein 1-like
NC_027319.1,56701744,Intron,74.37,5.5E-42,106581048,LOC106581048,septin-4-like
NC_027313.1,49308194,Exon,68.76,6.8E-42,106569809,klhl40,kelch like family member 40
NC_027314.1,34915570,Intron,-100.0,7.1E-42,106571419,LOC106571419,androgen-induced gene 1 protein-like
NC_027313.1,27326850,Flanks,69.83,7.4E-42,106569178,LOC106569178,zinc finger protein 521-like
NC_027313.1,74770776,Exon,-37.44,7.9E-42,106570405,LOC106570405,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
NC_027314.1,61869095,Flanks,-25.33,9.6E-42,106571941,LOC106571941,nascent polypeptide-associated complex subunit alpha-like
NC_027318.1,2408940,Flanks,88.95,1.2E-41,106578312,LOC106578312,homeobox protein Dlx4b-like
NC_027310.1,69994611,Intron,42.94,1.4E-41,106563223,LOC106563223,guanine nucleotide exchange factor VAV2-like
NC_027309.1,96102414,Intron,86.55,1.4E-41,106561392,LOC106561392,homeodomain-interacting protein kinase 2-like
NC_027314.1,45356915,Intron,-55.34,1.6E-41,106571620,LOC106571620,C-C chemokine receptor type 6-like
NC_027309.1,19385672,Exon,-31.15,1.6E-41,106613754,LOC106613754,mast cell protease 1A-like
NC_027309.1,51413391,Exon,-55.22,1.7E-41,106560648,LOC106560648,P-selectin-like
NC_027317.1,12430467,Intron,-34.86,2.1E-41,106576707,bmpr1a,bone morphogenetic protein receptor type 1A
NC_027300.1,4275141,P5K,62.83,2.2E-41,106602253,cdkl1,cyclin dependent kinase like 1
NC_027323.1,5324325,Intron,77.93,2.7E-41,106585209,ipo11,importin 11
NC_027318.1,30408172,Intron,60.71,2.8E-41,106578684,LOC106578684,"POU domain, class 6, transcription factor 2-like"
NC_027328.1,17890466,Exon,69.67,3.2E-41,106590291,LOC106590291,zinc finger CCHC domain-containing protein 2-like
NC_027303.1,55796016,Flanks,67.85,4.4E-41,106603444,LOC106603444,single-minded homolog 2-like
NC_027313.1,14473498,Exon,55.56,5.0E-41,106568909,LOC106568909,retinoic acid receptor RXR-gamma-A-like
NW_012349699.1,6670,Flanks,-73.73,5.7E-41,100196775,Very long-chain acyl-CoA synthetase,Very long-chain acyl-CoA synthetase
NC_027309.1,20289793,P5K,-54.78,5.8E-41,106613778,LOC106613778,leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3
NC_027309.1,82576855,Intron,-32.95,6.0E-41,106561149,LOC106561149,solute carrier organic anion transporter family member 3A1-like
NC_027303.1,23878169,Intron,-36.94,6.3E-41,106602724,LOC106602724,EF-hand calcium-binding domain-containing protein 6-like
NC_027308.1,57713716,Intron,-70.46,8.1E-41,106611599,LOC106611599,protocadherin-12-like
NC_027314.1,75978012,Intron,31.68,8.1E-41,106572009,LOC106572009,pleckstrin homology domain-containing family M member 2-like
NC_027300.1,98506721,Intron,33.43,9.3E-41,106611767,kat6b,lysine acetyltransferase 6B
NC_027327.1,18234510,Intron,-47.28,1.2E-40,106589628,LOC106589628,"protoheme IX farnesyltransferase, mitochondrial"
NC_027300.1,129407906,P5K,-57.9,1.3E-40,106566689,LOC106566689,MAM domain-containing protein 2-like
NC_027317.1,24151215,Intron,-30.19,1.4E-40,106577123,LOC106577123,inactive phospholipase D5-like
NC_027325.1,15031882,Flanks,85.74,1.4E-40,100194854,ula1,NEDD8-activating enzyme E1 regulatory subunit
NC_027313.1,49171555,Intron,-50.39,2.9E-40,106569808,LOC106569808,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1-like"
NC_027300.1,151139434,Intron,66.54,3.0E-40,106571898,ror2,receptor tyrosine kinase like orphan receptor 2
NC_027324.1,14247097,P5K,-54.85,3.7E-40,106586221,dcaf17,DDB1 and CUL4 associated factor 17
NC_027313.1,16808122,Flanks,54.66,7.3E-40,106569007,LOC106569007,G-protein coupled receptor 55-like
NC_027316.1,5028765,Intron,47.45,1.2E-39,100286499,LOC100286499,intersectin-1
NC_027318.1,198020,Intron,-95.96,1.4E-39,106578247,tmem204,transmembrane protein 204
NC_027304.1,68169493,Intron,36.4,1.7E-39,106605699,LOC106605699,transmembrane protein 145-like
NC_027319.1,75001223,P5K,-55.56,1.8E-39,106581415,LOC106581415,metabotropic glutamate receptor 5-like
NC_027311.1,27863637,Intron,55.89,2.7E-39,106564814,LOC106564814,egl nine homolog 1-like
NC_027303.1,21662022,Intron,-47.8,5.6E-39,106602757,ctnna2,catenin alpha 2
NC_027327.1,36333348,Intron,38.34,7.4E-39,106589958,LOC106589958,calpain-1 catalytic subunit-like
NC_027319.1,75001257,P5K,-54.81,8.3E-39,106581415,LOC106581415,metabotropic glutamate receptor 5-like
NC_027303.1,35384369,P5K,32.59,8.7E-39,100194755,ccd82,Coiled-coil domain-containing protein 82
NC_027323.1,15867680,Flanks,-64.75,1.3E-38,106584989,LOC106584989,uncharacterized LOC106584989
NC_027325.1,13112775,Flanks,-65.59,1.5E-38,106587304,LOC106587304,"cytochrome b-c1 complex subunit Rieske, mitochondrial"
NC_027311.1,45868459,Intron,62.89,1.6E-38,106565124,LOC106565124,low-density lipoprotein receptor class A domain-containing protein 2-like
NC_027314.1,52851404,Intron,52.78,1.8E-38,106571830,LOC106571830,SAM and SH3 domain-containing protein 1-like
NC_027303.1,38031048,P5K,88.34,2.1E-38,106603168,LOC106603168,transmembrane protein 164-like
NC_027309.1,6321169,Flanks,-28.02,2.1E-38,106613980,ptger3,prostaglandin E receptor 3
NC_027306.1,31496408,Intron,63.73,2.3E-38,106609108,LOC106609108,protein FAM19A5-like
NC_027305.1,44759493,P5K,41.77,2.4E-38,106607551,LOC106607551,N-myc proto-oncogene protein-like
NC_027309.1,75486122,Intron,52.76,2.4E-38,106560938,zcchc14,zinc finger CCHC-type containing 14
NC_027312.1,55870551,Intron,-62.58,2.4E-38,106567530,LOC106567530,protein Jade-1-like
NC_027310.1,47059647,Flanks,36.58,2.4E-38,106562874,LOC106562874,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6-like"
NC_027309.1,66041027,Flanks,43.23,2.5E-38,106561092,alkbh3,"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase"
NC_027305.1,38829742,Intron,25.83,3.3E-38,106607259,LOC106607259,zinc finger protein 652-like
NC_027312.1,88874500,Exon,-78.31,3.6E-38,106568170,LOC106568170,S-phase kinase-associated protein 2-like
NC_027322.1,28908662,Intron,67.57,3.6E-38,106584357,LOC106584357,laminin subunit alpha-3-like
NC_027308.1,107122160,Intron,79.43,4.0E-38,106612562,LOC106612562,MDS1 and EVI1 complex locus protein EVI1-like
NC_027325.1,20872342,Intron,-37.18,4.2E-38,106587342,LOC106587342,disintegrin and metalloproteinase domain-containing protein 10-like
NC_027315.1,31066816,Intron,-32.27,4.3E-38,106573727,gnao1,G protein subunit alpha o1
NC_027301.1,50896668,Intron,-28.19,4.6E-38,106586478,LOC106586478,sodium/potassium/calcium exchanger 3-like
NC_027313.1,46666898,Exon,84.52,5.3E-38,106569754,LOC106569754,dnaJ homolog subfamily B member 4-like
NC_027300.1,129405284,P5K,-29.04,5.3E-38,106566689,LOC106566689,MAM domain-containing protein 2-like
NC_027306.1,32799146,Flanks,58.01,6.0E-38,106609119,LOC106609119,solute carrier organic anion transporter family member 1C1-like
NC_027302.1,11737685,Flanks,-55.94,6.1E-38,106598866,LOC106598866,CMRF35-like molecule
NC_027302.1,15028956,P5K,-62.0,6.4E-38,106599100,LOC106599100,nucleoprotein TPR-like
NC_027304.1,75953662,Flanks,59.98,7.1E-38,106606048,LOC106606048,uncharacterized LOC106606048
NC_027301.1,21587232,Intron,-48.39,7.5E-38,106580330,LOC106580330,atrial natriuretic peptide receptor 1-like
NC_027317.1,51056920,Intron,45.41,8.3E-38,106577622,LOC106577622,inactive ubiquitin carboxyl-terminal hydrolase 53-like
NC_027311.1,52536490,Exon,69.51,8.6E-38,106565408,LOC106565408,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like
NC_027308.1,68708983,Flanks,-53.45,9.7E-38,106611868,LOC106611868,CCR4-NOT transcription complex subunit 6-like
NC_027310.1,53237574,Flanks,-58.1,9.9E-38,106562970,prkaa1,protein kinase AMP-activated catalytic subunit alpha 1
NC_027303.1,75542059,Flanks,56.05,1.2E-37,106603930,LOC106603930,rabankyrin-5-like
NC_027318.1,14997705,Intron,-30.73,1.4E-37,100380525,frrs1,ferric-chelate reductase 1
NC_027313.1,52873402,Flanks,-33.5,1.6E-37,106570088,ciart,circadian associated repressor of transcription
NC_027308.1,107205756,Intron,-54.08,1.8E-37,106612562,LOC106612562,MDS1 and EVI1 complex locus protein EVI1-like
NC_027305.1,13824199,Intron,46.41,1.8E-37,106606551,nuclear GTPase SLIP-GC-like,nuclear GTPase SLIP-GC-like
NC_027301.1,43041013,Flanks,63.54,2.2E-37,100196493,kinase C alpha type,kinase C alpha type
NC_027313.1,77816922,Intron,43.46,2.2E-37,106570460,LOC106570460,collagen alpha-2(I) chain
NC_027328.1,14204286,Intron,58.57,2.2E-37,106590190,gli3,GLI family zinc finger 3
NC_027303.1,76243423,Flanks,-56.93,2.3E-37,106603943,LOC106603943,carbohydrate-responsive element-binding protein-like
NC_027300.1,104231827,Flanks,-56.39,2.3E-37,106560436,protein ERGIC-53-like,protein ERGIC-53-like
NC_027309.1,97716182,Intron,-31.78,2.4E-37,106561376,LOC106561376,uncharacterized LOC106561376
NC_027314.1,90090741,Intron,52.43,2.5E-37,106572682,LOC106572682,zinc finger protein Eos-like
NC_027312.1,68447614,Flanks,43.5,3.0E-37,106567686,dyrk1a,dual specificity tyrosine phosphorylation regulated kinase 1A
NC_027311.1,28746758,Intron,42.4,4.2E-37,100286710,LOC100286710,serine/threonine-protein kinase MARK1
NC_027302.1,53721484,Exon,77.65,4.8E-37,106600913,LOC106600913,GEM-interacting protein-like
NC_027305.1,25744223,Intron,33.56,5.1E-37,106606927,LOC106606927,"glutamate receptor ionotropic, NMDA 2C-like"
NC_027311.1,45868444,Intron,63.52,5.7E-37,106565124,LOC106565124,low-density lipoprotein receptor class A domain-containing protein 2-like
NC_027312.1,69828696,Intron,-54.49,6.1E-37,106567662,LOC106567662,syntaxin-1A
NC_027316.1,3513526,Intron,44.52,6.9E-37,106575119,LOC106575119,sodium- and chloride-dependent GABA transporter 2-like
NC_027313.1,49624174,Intron,56.72,6.9E-37,106569814,LOC106569814,guanine nucleotide exchange factor VAV3-like
NC_027302.1,13847157,Intron,50.56,7.5E-37,106599039,LOC106599039,solute carrier family 25 member 36-A-like
NC_027315.1,15216859,Exon,-27.54,7.5E-37,100380601,tmem5,ribitol xylosyltransferase 1
NC_027324.1,15014752,Flanks,-53.89,8.3E-37,100194457,even-skipped homeobox 2a,even-skipped homeobox 2a
NC_027309.1,71383862,Intron,65.31,8.4E-37,106561006,LOC106561006,RNA-binding Raly-like protein
NC_027313.1,28021167,Intron,-96.97,8.8E-37,106569171,LOC106569171,cadherin-2-like
