Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027319.1,25632590,Intron,43.95,9.7E-62,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027304.1,59091178,Flanks,82.0,3.2E-61,100196743,cr3l4,cAMP-responsive element-binding protein 3-like protein 4
NC_027308.1,105743966,Intron,-40.34,3.3E-61,106612604,LOC106612604,sodium/calcium exchanger 2-like
NC_027307.1,3454809,Flanks,-26.96,1.1E-59,106609958,LOC106609958,probable G-protein coupled receptor 83
NC_027300.1,142340138,Intron,73.71,2.0E-59,106569324,LOC106569324,zinc finger FYVE domain-containing protein 16-like
NC_027302.1,22786654,Intron,76.69,5.9E-57,106599387,LOC106599387,"beta-1,4-galactosyltransferase 2-like"
NC_027312.1,96628390,Exon,66.39,1.2E-56,106568430,LOC106568430,putative uncharacterized protein DDB_G0286901
NW_012347989.1,7232,Intron,-64.84,2.2E-56,106592313,LOC106592313,"NACHT, LRR and PYD domains-containing protein 12-like"
NC_027328.1,5132367,Intron,47.19,9.5E-56,106590053,LOC106590053,cadherin-12-like
NC_027311.1,20641211,Intron,-67.61,1.2E-55,106564665,LOC106564665,septin-9-like
NC_027311.1,45868438,Intron,70.86,4.5E-54,106565124,LOC106565124,low-density lipoprotein receptor class A domain-containing protein 2-like
NC_027315.1,2589058,Flanks,-29.52,6.5E-54,106573040,LOC106573040,filamin-C-like
NC_027315.1,32884004,Intron,69.02,6.5E-54,106573702,LOC106573702,cadherin-13-like
NW_012352364.1,5182,Flanks,-33.36,6.7E-54,106594295,LOC106594295,uncharacterized LOC106594295
NC_027312.1,26378988,Flanks,-26.97,7.2E-54,106566833,properdin-like,properdin-like
NC_027309.1,89049804,Intron,-70.29,1.1E-53,106561324,LOC106561324,serine/threonine-protein kinase WNK1-like
NC_027318.1,69767272,Intron,-56.68,2.1E-53,106579565,LOC106579565,dipeptidyl aminopeptidase-like protein 6
NC_027304.1,1005370,Intron,-65.59,4.3E-53,106604099,transcriptional regulator ATRX-like,transcriptional regulator ATRX-like
NC_027301.1,14232402,P5K,93.44,5.2E-53,100195786,nca11,Neural cell adhesion molecule 1-A
NC_027314.1,40884453,Intron,-42.25,6.2E-53,106571690,itpk1,inositol-tetrakisphosphate 1-kinase
NC_027313.1,8771091,Intron,38.39,1.9E-52,106568720,LOC106568720,tyrosine-protein kinase JAK1-like
NC_027311.1,38257776,P5K,-60.0,5.4E-52,106565280,LOC106565280,E3 ubiquitin-protein ligase Itchy-like
NC_027314.1,2843048,Intron,-39.21,7.8E-52,106570851,LOC106570851,protein unc-13 homolog B-like
NC_027308.1,74739379,P5K,40.56,1.1E-51,106611966,immt,inner membrane mitochondrial protein
NC_027312.1,40690695,Intron,-36.32,1.2E-51,100380349,mare1,Microtubule-associated protein RP/EB family member 1
NC_027308.1,4330348,Flanks,-44.7,1.6E-51,106610614,ero1a,endoplasmic reticulum oxidoreductase 1 alpha
NC_027318.1,46410788,Intron,52.62,5.5E-51,106578973,LOC106578973,serine-rich coiled-coil domain-containing protein 2-like
NC_027310.1,78335301,Exon,-77.67,1.4E-50,106563588,LOC106563588,diamine acetyltransferase 1-like
NC_027319.1,42016205,Flanks,65.31,2.3E-50,106580649,LOC106580649,60S ribosomal protein L35a
NC_027315.1,30312865,Intron,37.72,2.5E-50,106573747,edc4,enhancer of mRNA decapping 4
NC_027319.1,8583876,Intron,57.84,2.5E-50,106580147,kiaa0825,KIAA0825 ortholog
NC_027305.1,47354236,Flanks,54.56,2.7E-50,100196700,tagap,T-cell activation GTPase activating protein
NC_027316.1,38520204,Flanks,-45.78,3.2E-50,106576110,LOC106576110,neural Wiskott-Aldrich syndrome protein-like
NC_027326.1,22455130,Flanks,-72.99,4.0E-50,106588785,LOC106588785,growth factor receptor-bound protein 10-like
NC_027301.1,14232396,P5K,90.1,4.0E-50,100195786,nca11,Neural cell adhesion molecule 1-A
NC_027300.1,129405278,P5K,-32.86,1.8E-49,106566689,LOC106566689,MAM domain-containing protein 2-like
NC_027305.1,11591081,Intron,47.09,1.9E-49,106606491,"sarcalumenin-like, transcript variant X2",sarcalumenin-like
NC_027314.1,93456478,Flanks,-44.31,2.0E-49,106572754,LOC106572754,"serine--tRNA ligase, cytoplasmic-like"
NC_027317.1,6231408,Intron,40.66,2.1E-49,106576922,LOC106576922,pterin-4-alpha-carbinolamine dehydratase-like
NC_027303.1,34518358,Intron,48.12,5.8E-49,106603037,LOC106603037,bromodomain-containing protein 8-like
NC_027319.1,18338285,Intron,-25.3,9.5E-49,106579979,LOC106579979,serine/threonine-protein phosphatase 6 catalytic subunit-like
NC_027306.1,2141528,Flanks,-57.81,1.4E-48,106608452,LOC106608452,zinc finger protein 568-like
NC_027308.1,2322400,Intron,-47.73,2.8E-48,106610598,LOC106610598,ALK tyrosine kinase receptor-like
NC_027304.1,52250720,Flanks,40.61,1.0E-47,106605137,LOC106605137,gap junction alpha-9 protein-like
NC_027319.1,43618220,Intron,34.77,1.4E-47,106580682,LOC106580682,dedicator of cytokinesis protein 10-like
NC_027305.1,75626983,Intron,74.58,1.5E-47,106608170,LOC106608170,"actin, alpha cardiac muscle 1-like"
NC_027308.1,59178131,Flanks,82.64,3.3E-47,106611628,LOC106611628,protocadherin Fat 4-like
NC_027302.1,52393258,Intron,-46.08,5.2E-47,106600669,LOC106600669,acid-sensing ion channel 2-like
NC_027303.1,33722357,Intron,-72.44,5.2E-47,106602980,LOC106602980,complement factor B-like
NC_027317.1,68588360,Exon,59.56,6.4E-47,106578155,neuropeptide Y receptor type 2-like,neuropeptide Y receptor type 2-like
NC_027324.1,12079191,Flanks,-49.33,7.5E-47,100195207,cg057,CG057 protein
NC_027322.1,12682158,Exon,26.06,1.0E-46,106584076,LOC106584076,forkhead box protein F2-like
NC_027300.1,117578545,Exon,82.19,1.2E-46,106563547,LOC106563547,"rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta-like"
NW_012350267.1,5934,Intron,-56.22,1.2E-46,106593487,LOC106593487,N-acylneuraminate cytidylyltransferase-like
NC_027319.1,25523079,Intron,26.29,2.0E-46,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
